,Title,Earliest Semester Takeable,Prereqs,Coreqs,Exclusions,Notes,Semesters Available,Raw Prereqs
STA238H1,"Probability, Statistics and Data Analysis II","(2, 'Winter')!!",STA237H1/STA247H1(unaccounted)/STA257H1,,"ECO220Y1,ECO227Y1,GGR270H1,PSY201H1,SOC300H1,SOC202H1,SOC252H1,STA220H1,STA221H1,STA255H1,STA248H1,STA261H1,STA288H1,EEB225H1",*Note: the corequisite may be completed either concurrently or in advance,Winter!!,STA237H1/ STA247H1/ STA257H1/ STAB52H3/ STA256H5
STA255H1,Statistical Theory,"(2, 'Winter')!!",(STA220H1/STA288H1),,"ECO227Y1,STA237H1,STA238H1,STA257H1,STA261H1,STA247H1,STA248H1",note: ECO220Y1 may be taken as a co-requisite,Winter!!,"STA220H1/ STA221H1/ STA288H1/ ECO220Y1 (note: ECO220Y1 may be taken as a co-requisite)/ STAB22H3/ STA220H5/ ECO220Y5; MAT133Y1 (70%)/ (MAT135H1, MAT136H1)/ MAT137Y1/ MAT157Y1/ (MATA32H3 (70%), MATA33H3 (70%))/ (MATA29H3 (70%), MATA35H3 (70%))/ (MATA30H3, MATA36H3)/ (MATA31H3, MATA37H3)/ MAT133Y5 (70%)/ (MAT132H5 (70%), MAT134H5 (70%))/ (MAT135H5,MAT136H5)/ MAT137Y5/ MAT157Y5"
STA257H1,Probability and Statistics I,"(2, 'Fall')",,,"ECO227Y1,STA237H1,STA247H1,MAT370H1,MAT377H1",,Fall,"MAT137Y1/ MAT157Y1/ (MATA31H3, MATA37H3)/ MAT137Y5/ MAT157Y5"
STA261H1,Probability and Statistics II,"(2, 'Winter')",STA257H1,,"ECO227Y1,STA238H1,STA248H1",,Winter,STA257H1/ STAB52H3/ STA256H5
STA288H1,Statistics and Scientific Inquiry in the Life Sciences,"(1, 'Winter')",BIO230H1(unaccounted)/BIO255H1(unaccounted),,"STA220H1,PSY201H1,GGR270H1,ECO220Y1,ECO227Y1,SOC202H1,EEB225H1,HMB325H1,STA238H1,STA248H1,STA261H1,PCL376H1",,Winter,BIO230H1/BIO255H1
STA299Y1,Research Opportunity Program,"(2, 'Fall-Winter')",,,,,Fall-Winter,
STA302H1,Methods of Data Analysis I,"(3, 'Fall')!!",(STA238H1/STA248H1(unaccounted)/STA255H1/STA261H1/ECO227Y1(unaccounted)),,,,"Fall!!,Winter",STA238H1/ STA248H1/ STA255H1/ STA261H1/ ECO227Y1/ STAB57H3/ STA258H5/ STA260H5/ ECO227Y5; CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1/ CSCA08H3/ CSCA20H3/ CSCA48H3/ CSC108H5/ CSC148H5; MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5
STA303H1,Methods of Data Analysis II,"(3, 'Winter')",STA302H1,,,,Winter,STA302H1/STAC67H3/STA302H5
STA304H1,"Surveys, Sampling and Observational Data","(3, 'Fall')",ECO227Y1(unaccounted)/STA255H1/STA261H1/STA248H1(unaccounted)/STA238H1,,,,"Fall,Winter!!",ECO227Y1/ STA255H1/ STA261H1/ STA248H1/ STA238H1/ STAB57H3/ STA258H5/ STA260H5/ ECO227Y5
STA305H1,Design and Analysis of Experiments,"(3, 'Winter')",STA302H1,,,,Winter,STA302H1/STAC67H3/STA302H5
STA313H1,Data Visualization,"(3, 'Fall')!!",(STA238H1/STA248H1(unaccounted)/STA261H1/ECO227Y1(unaccounted)),,,,Fall!!,CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1; STA238H1/ STA248H1/ STA261H1/ ECO227Y1
STA314H1,Statistical Methods for Machine Learning I,"(4, 'Fall')!!",STA302H1,,"CSC411H1,CSC311H1",,Fall!!,"STA302H1/ STA302H5/ STAC67H3; CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1/ CSCA08H3/ CSCA48H3/ CSCA20H3/ CSC108H5/ CSC148H5; MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5; MAT235Y1/ MAT237Y1/ MAT257Y1/ (MATB41H3, MATB42H3)/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5)"
STA347H1,Probability,"(3, 'Fall')",(STA247H1(unaccounted)/STA255H1/STA237H1/STA257H1/ECO227Y1(unaccounted)),,"MAT370H1,MAT377H1","('are ', '')","Fall,Winter!!","STA247H1(70%)/ STA255H1(70%)/ STA237H1(70%)/ STA257H1/ ECO227Y1/ STAB52H3/ STA256H5; MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5; MAT235Y1/ MAT237Y1/ MAT257Y1/ (MATB41H3, MATB42H3)/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5) (Note: STA257H1, MAT223H1/MAT240H1, MAT237Y1/MAT257Y1 are very strongly recommended)"
STA355H1,Theory of Statistical Practice,"(3, 'Fall')",(STA255H1/STA248H1(unaccounted)/STA238H1/STA261H1/ECO227Y1(unaccounted)),,,,Fall,"STA255H1 (73%)/ STA248H1 (73%)/ STA238H1 (73%)/ STA261H1 (60%)/ ECO227Y1 (60%)/ STAB57H3 (60%)/ STA260H5 (60%)/ ECO227Y5 (60%); MAT235Y1/ MAT237Y1/ MAT257Y1/ (MATB41H3, MATB42H3)/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5); MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5"
STA365H1,Applied Bayesian Statistics,"(3, 'Winter')",STA302H1,,,,Winter,STA302H1/STAC67H3/STA302H5
STA399Y1,Research Opportunity Program,"(2, 'Fall-Winter')",,,,,Fall-Winter,
STA410H1,Statistical Computation,"(3, 'Winter')",STA302H1,,,,Winter,STA302H1/ STAC67H3/ STA302H5; CSC110Y1/ CSC148H1/ CSCA48H3/ CSC148H5; MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5
STA414H1,Statistical Methods for Machine Learning II,"(3, 'Winter')!!",(STA314H1/CSC411H1(unaccounted)/CSC311H1);STA302H1,,CSC412H1,,Winter!!,"STA314H1/ CSC411H1/ CSC311H1/ (STA314H5, STA315H5)/ CSCC11H3/ CSC411H5; STA302H1/ STAC67H3/ STA302H5; CSC108H1/ CSC110Y1/ CSC120H1/ CSC148H1/ CSCA08H3/ CSCA48H3/ CSCA20H3/ CSC108H5/ CSC148H5; MAT235Y1/ MAT237Y1/ MAT257Y1/ (MATB41H3, MATB42H3)/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5); MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5"
STA437H1,Methods for Multivariate Data,"(3, 'Winter')",STA302H1,,,,"Fall,Winter",STA302H1/STAC67H3/STA302H5
STA442H1,Methods of Applied Statistics,"(4, 'Fall')",STA303H1,,,,Fall,"STA303H1/(STAC67H3, STAC51H3); CSC108H1/CSC110Y1/CSC120H1/CSC148H1/CSCA08H3/CSCA48H3/CSCA20H3/CSC108H5/CSC148H5"
STA447H1,Stochastic Processes,"(3, 'Winter')",STA347H1/MAT377H1,,,,Winter,STA347H1/MAT377H1/STAC62H3
STA450H1,Topics in Statistics,"(1, 'Winter')",,,,Prereq: 9.0 credits,Winter,9.0 credits
STA452H1,Mathematical Statistics I,"(4, 'Fall')",((STA257H1;STA355H1)/STA347H1),,,"('', '.')",Fall,"MAT223H1/ MAT224H1/ MAT240H1/ MATA22H3/ MATA23H3/ MAT223H5/ MAT240H5/ MATB24H3/ MAT224H5; MAT235Y1/ MAT237Y1/ MAT257Y1/ (MATB41H3, MATB42H3)/ (MAT232H5, MAT236H5)/ (MAT233H5, MAT236H5); (STA257H1, STA355H1)/ STA347H1. (Note: MAT237Y1/ MAT257Y1; (MAT223H1, MAT224H1)/ MAT240H1 very strongly recommended.)"
STA453H1,Mathematical Statistics II,"(4, 'Winter')",STA452H1,,,,Winter,STA452H1
STA457H1,Time Series Analysis,"(3, 'Winter')",STA302H1,,,,"Fall!!,Winter","STA302H1/STAC67H3/STA302H5; MAT235Y1/MAT237Y1/MAT257Y1/(MATB41H3, MATB42H3)/(MAT232H5, MAT236H5)/(MAT233H5, MAT236H5)"
STA465H1,Spatial Data Analysis,"(4, 'Fall')",STA302H1;STA303H1,,,,Fall,"STA302H1/STAC67H3/STA302H5, STA303H1"
STA475H1,Survival Analysis,"(4, 'Fall')",,STA303H1,,,Fall,
STA480H1,Fundamentals of Statistical Genetics,"(4, 'Fall')",STA303H1,,,,Fall,STA303H1
STA490Y1,"Statistical Consultation, Communication, and Collaboration","(4, 'Fall-Winter')",STA303H1;(STA304H1/STA305H1),STA355H1,,"Uncleanable string: ""STA355H1; one additional 400-level STA course""",Fall-Winter,"STA303H1, STA304H1/ STA305H1"
STA492H1,Seminar in Statistical Science,"(3, 'Winter')",STA355H1,,,(Permission of instructor. An application is required to be considered for this course. Information about this special enrolment course as well as a link to the online application form is available on the Department of Statistical Sciences website. Priority will be given to students who complete the application during the priority enrolment period the summer before the course is offered and who are completing all requirements of the Specialist in Statistical Science: Theory and Methods or the Statistics Specialist that academic year.),Winter,STA355H1 (Permission of instructor. An application is required to be considered for this course. Information about this special enrolment course as well as a link to the online application form is available on the Department of Statistical Sciences website. Priority will be given to students who complete the application during the priority enrolment period the summer before the course is offered and who are completing all requirements of the Specialist in Statistical Science: Theory and Methods or the Statistics Specialist that academic year.)
STA496H1,Readings in Statistics,"(1, 'Winter')",,,"STA497H1,STA498Y1,STA499Y1","Uncleanable string: ""At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course""","Fall,Winter,Fall-Winter",At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course
STA497H1,Readings in Statistics,"(1, 'Winter')",,,"STA496H1,STA498Y1,STA499Y1","Uncleanable string: ""At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course""","Fall,Winter,Fall-Winter",At least 1.0 STA credit at the 300+ level with a minimum grade of 80% in each course
ACT199H1,Decipher Financial Puzzles in the Media and Pop Culture,"(2, 'Fall')!!",,,,,Fall!!,
ACT230H1,Mathematics of Finance for Non-Actuaries,"(2, 'Fall')",,,ACT240H1,"Uncleanable string: ""First-year Calculus""",Fall,First-year Calculus
ACT240H1,Mathematics of Investment & Credit,"(2, 'Fall')",,,ACT230H1,,Fall,MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%)
ACT245H1,Financial Principles for Actuarial Science I,"(2, 'Winter')",ACT240H1,,,,Winter,"ACT240H1, MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%)"
ACT247H1,Introductory Life Contingencies,"(2, 'Winter')",ACT240H1;STA257H1,,,,Winter,ACT240H1; MAT137Y1 (minimum grade 63%)/MAT157Y1 (minimum grade 60%); STA257H1
ACT348H1,Life Contingencies II,"(3, 'Fall')",ACT240H1;ACT245H1;ACT247H1,(STA257H1/STA237H1),,,Fall,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%)"
ACT349H1,Corporate Finance for Actuarial Science,"(3, 'Fall')",ACT240H1;ACT245H1;ACT247H1,(STA257H1/STA237H1),"ECO358H1,ECO359H1,RSM332H1,RSM333H1",,Fall,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%)"
ACT350H1,Applied Probability for Actuarial Science,"(3, 'Fall')",ACT240H1;ACT245H1;ACT247H1;(STA257H1/STA237H1),,,,Fall,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA257H1/ STA237H1"
ACT370H1,Financial Principles for Actuarial Science II,"(3, 'Winter')",ACT240H1;ACT245H1;ACT247H1,(STA261H1/STA238H1),RSM435H1,,Winter,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%)"
ACT371H1,Basic Reserving Methods For P&C Insurance,"(3, 'Fall')!!",ACT240H1;(STA257H1/STA237H1),,,,Fall!!,"ACT240H1, STA257H1/ STA237H1"
ACT372H1,Basic Ratemaking Methods For P&C Insurance,"(3, 'Winter')",ACT371H1,,,,Winter,ACT371H1
ACT390H1,Professional Experience in Actuarial Science,"(2, 'Fall')",,,,"Uncleanable string: ""Enrolment in the Actuarial Science Specialist program or by approval of the Department of Statistical Sciences.""",Fall,Enrolment in the Actuarial Science Specialist program or by approval of the Department of Statistical Sciences.
ACT391H1,Professional Internship,"(2, 'Winter')",ACT390H1,,,,"Fall,Winter",ACT390H1
ACT451H1,Loss Models,"(3, 'Fall')",(STA257H1/STA237H1);ACT240H1;ACT245H1;ACT247H1,,,,Fall,"STA257H1/ STA237H1, ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%)"
ACT452H1,Loss Models II,"(3, 'Winter')",ACT240H1;ACT245H1;ACT247H1;(STA261H1/STA238H1);ACT451H1,,,,Winter,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA261H1/ STA238H1, ACT451H1"
ACT455H1,Advanced Life Contingencies,"(3, 'Winter')",ACT240H1;ACT245H1;ACT247H1;ACT348H1;(ACT350H1/STA347H1),,,,Winter,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), ACT348H1, ACT350H1/ STA347H1"
ACT460H1,Stochastic Methods for Actuarial Science and Finance,"(4, 'Fall')",ACT240H1;ACT245H1;ACT247H1;(ACT350H1/STA347H1),,,,Fall,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), ACT350H1/STA347H1"
ACT466H1,Credibility and Simulation,"(3, 'Winter')!!",ACT240H1;ACT245H1;ACT247H1;(STA261H1/STA238H1);ACT451H1,,,,Winter!!,"ACT240H1 (minimum 63%), ACT245H1 (minimum 63%), ACT247H1 (minimum 63%), STA261H1/ STA238H1, ACT451H1"
ACT470H1,Advanced Pension Mathematics,"(3, 'Winter')",,ACT455H1,,"Uncleanable string: ""ACT348H1 or permission of instructor""",Winter,ACT348H1 or permission of instructor
ACT473H1,Issues In Actuarial Practice,"(3, 'Winter')",ACT348H1;ACT349H1,,,,Winter,"ACT348H1, ACT349H1"
ACT475H1,Insurance Products and Regulation with AXIS,"(3, 'Winter')",ACT240H1;ACT245H1;ACT247H1,ACT348H1,,,Winter,"ACT240H1, ACT245H1, ACT247H1"
ACT496H1,Readings in Actuarial Science,"(2, 'Fall')",,,,,Fall,
ACT497H1,Readings in Actuarial Science,"(1, 'Winter')",,,,,Winter,
ACT498Y1,Readings in Actuarial Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
ACT499Y1,Readings in Actuarial Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
AST101H1,The Sun and Its Neighbours,"(2, 'Fall')!!",,,"AST121H1,CIV100H1,CIV101H1,CIV102H1,AST221H1",,Fall!!,
AST121H1,Origin and Evolution of the Universe,"(1, 'Winter')!!",,,"AST101H1,AST201H1,AST210H1,AST221H1,AST222H1","Uncleanable string: ""SPH4U Physics; MCB4U Calculus""",Winter!!,SPH4U Physics; MCB4U Calculus
AST198H1,Great Astronomical Issues,"(1, 'Winter')",,,AST199H1,,"Fall,Winter",
AST199H1,Astronomy at the Frontier,"(1, 'Winter')!!",,,AST198H1,,"Fall!!,Winter!!",
AST201H1,Stars and Galaxies,"(1, 'Winter')",,,"AST121H1,AST210H1,CIV100H1,CIV101H1,CIV102H1,AST221H1,AST222H1",,Winter,
AST221H1,Stars and Planets,"(2, 'Fall')!!",,,,,Fall!!,PHY132H1/ PHY152H1; MAT136H1/ MAT137Y1/ MAT157Y1
AST222H1,Galaxies and Cosmology,"(2, 'Winter')!!",AST221H1,,,,Winter!!,AST221H1/AST221H5
AST251H1,Life on Other Worlds,"(1, 'Winter')!!",,,"AST221H1,AST222H1",,Winter!!,
AST299H1,Research Opportunity Program,"(1, 'Winter')",,,,,Winter,
AST301H1,Observational Astronomy,"(2, 'Fall')",AST201H1/AST251H1,,"AST221H1,AST222H1,AST325H1,AST326Y1",,Fall,AST101H1/ AST201H1/ AST251H1
AST320H1,Introduction to Astrophysics,"(3, 'Winter')!!",(PHY252H1/PHY294H1(unaccounted));AST221H1;AST222H1,,,"Note: can skip stuff with('AST ', ';')",Winter!!,"PHY252H1/ PHY294H1/ PHY242H5/ PHYB52H3; AST221H1, AST222H1 (or equivalent AST readings; consult the instructor)"
AST325H1,Introduction to Practical Astronomy,"(3, 'Fall')!!",AST221H1;AST222H1,,AST326Y1,"Note: can skip stuff with('', ',')",Fall!!,"AST221H1, AST222H1 (or equivalent readings, consult the instructor)"
AST326Y1,Practical Astronomy,"(3, 'Fall-Winter')!!",AST221H1;AST222H1,,AST325H1,"Note: can skip stuff with('', ';')",Fall-Winter!!,"AST221H1, AST222H1 (or equivalent readings; consult the instructor)"
AST424H1,Introduction to Astrophysical Research,"(4, 'Fall-Winter')",AST320H1,,AST425Y1,,Fall-Winter,AST320H1
AST425Y1,Research Topic in Astronomy,"(5, 'Fall-Winter')",(AST320H1/AST326Y1);PHY324H1;PHY350H1;PHY354H1;PHY356H1;PHY357H1;PHY358H1;(PHY407H1/PHY408H1);PHY450H1;JPE395H1,,,"Uncleanable string: ""AST320H1, two of AST325H1/ AST326Y1, PHY324H1, PHY350H1, PHY354H1, PHY356H1, PHY357H1, PHY358H1, PHY407H1/ PHY408H1, PHY450H1, JPE395H1""",Fall-Winter,"AST320H1, two of AST325H1/ AST326Y1, PHY324H1, PHY350H1, PHY354H1, PHY356H1, PHY357H1, PHY358H1, PHY407H1/ PHY408H1, PHY450H1, JPE395H1"
AST430H1,Supervised Study in Astronomy & Astrophysics,"(1, 'Winter')",,,,"Uncleanable string: ""Minimum GPA of 3.5 in Astronomy program courses and the permission of the Undergraduate Chair and the prospective adviser""","Fall,Winter,Fall-Winter",Minimum GPA of 3.5 in Astronomy program courses and the permission of the Undergraduate Chair and the prospective adviser
AST431Y1,Supervised Study in Astronomy & Astrophysics,"(2, 'Fall-Winter')",,,,"Uncleanable string: ""Minimum GPA of 3.5 in Astronomy program courses and the permission of the Undergraduate Chair and the prospective adviser """,Fall-Winter,Minimum GPA of 3.5 in Astronomy program courses and the permission of the Undergraduate Chair and the prospective adviser 
COG260H1,"Data, Computation, and the Mind","(2, 'Fall')!!",CSC108H1,COG250Y1(unaccounted),,,Fall!!,CSC108H1/CSC148H1
CTA395Y1,Research Topic,"(2, 'Fall-Winter')",CTA200H1(unaccounted),,,"Prereq: 8.5 credits 4.0 creditsUncleanable string: ""Minimum 8.5 credits and no more than 14.0 credits, including courses in AST, CTA200H1, or permission""",Fall-Winter,"Minimum 8.5 credits and no more than 14.0 credits, including courses in AST, CTA200H1, or permission"
PLN420H1,Interdisciplinary Seminar in Planetary Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
PLN425H1,Research in Planetary Science,"(2, 'Fall-Winter')",,,,,Fall-Winter,
SMC199H1,"Intelligence, Artificial and Human","(2, 'Fall')",,,CSC199H1,,Fall,
ECO220Y1,Introduction to Data Analysis and Applied Econometrics,"(2, 'Fall-Winter')!!",((ECO101H1(unaccounted);ECO102H1(unaccounted))/ECO105Y1(unaccounted)),,"GGR270H1,PSY201H1,PSY202H1,SOC202H1,SOC252H1,STA220H1,STA221H1,STA248H1",,Fall-Winter!!,"( ECO101H1(63%),  ECO102H1(63%))/  ECO105Y1(80%)/  ECO100Y5(67%)/ ( ECO101H5(63%),  ECO102H5(63%))/ ( MGEA02H3(67%),  MGEA06H3 (67%));  MAT133Y1/ ( MAT135H1,  MAT136H1)/  MAT137Y1/  MAT157Y1"
ECO225H1,Big-Data Tools for Economists,"(2, 'Winter')!!",((ECO101H1(unaccounted);ECO102H1(unaccounted))/ECO105Y1(unaccounted)),,"CSC311H1,ESC190H1,JSC270H1,STA314H1",,Winter!!,"( ECO101H1(63%),  ECO102H1(63%))/  ECO105Y1(80%)/  ECO100Y5(67%)/ ( ECO101H5(63%),  ECO102H5(63%))/ ( MGEA02H3 (67%),  MGEA06H3 (67%));  MAT133Y1(63%)/ ( MAT135H1(60%),  MAT136H1(60%))/  MAT137Y1(55%)/  MAT157Y1(55%);  CSC108H1/  CSC110Y1/  CSC148H1"
ECO482H1,Machine Learning Applications in Macroeconomic Finance,"(3, 'Fall')!!",(ECO200Y1(unaccounted)/ECO204Y1(unaccounted)/ECO206Y1(unaccounted));(ECO202Y1(unaccounted)/ECO208Y1(unaccounted)/ECO209Y1(unaccounted));(ECO220Y1/ECO227Y1(unaccounted)/(STA237H1;STA238H1)/(STA247H1(unaccounted);STA248H1(unaccounted))/(STA257H1;STA261H1)),,"CSC311H1,STA314H1,ECO481H1","Prereq: ('', 'at least ', '', 'in ECO ', '+ ', '', '')","Fall!!,Winter!!","CSC108H1/  CSC110Y1/  CSC148H1,  ECO200Y1/  ECO204Y1/  ECO206Y1,  ECO202Y1/  ECO208Y1/  ECO209Y1,  ECO220Y1/  ECO227Y1/ ( STA237H1,  STA238H1)/ ( STA247H1,  STA248H1)/ ( STA257H1,  STA261H1), at least 1.0 credit in ECO at the 300+ level."
EEB125H1,Introductory Computation and Data Science for the Life and Physical Sciences,"(1, 'Winter')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,GGR274H1",,Winter!!,
EEB313H1,Quantitative Methods in R for Biology,"(2, 'Fall')!!",BIO220H1(unaccounted);(EEB225H1(unaccounted)/STA288H1/STA220H1),,"STA130H1,PSY305H1",,Fall!!,"BIO220H1,  EEB225H1/ STA288H1/ STA220H1"
ENG286H1,Literature and Data,"(2, 'Fall')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,GGR274H1,EEB125H1","Prereq: 4.0 creditsUncleanable string: ""1.0 ENG credit or any 4.0 credits""",Fall!!,1.0 ENG credit or any 4.0 credits
ENG287H1,The Digital Text,"(1, 'Winter')!!",,,,"Prereq: 4.0 creditsUncleanable string: ""1.0 ENG credit or any 4.0 credits""",Winter!!,1.0 ENG credit or any 4.0 credits
ENV338H1,Environmental Research Data and Decision-making,"(2, 'Fall')!!",ENV222H1(unaccounted),,,"Prereq: 8.0 creditsUncleanable string: ""Completion of 8.0 credits including  ENV221H1/ ENV222H1 and  ENV223H1. Students who do not meet the prerequisites are encouraged to contact the Undergraduate Associate Director.""",Fall!!,Completion of 8.0 credits including  ENV221H1/ ENV222H1 and  ENV223H1. Students who do not meet the prerequisites are encouraged to contact the Undergraduate Associate Director.
ESS245H1,Computational Geology,"(2, 'Winter')",MAT198H1;MAT199H1;PHY196H1;PHY197H1;PHY198H1;PHY199H1,,ESS345H1,"Uncleanable string: ""1.0 credit from first-year math, or physics courses except  MAT193H1,  MAT198H1,  MAT199H1,  PHY196H1,  PHY197H1,  PHY198H1,  PHY199H1""",Winter,"1.0 credit from first-year math, or physics courses except  MAT193H1,  MAT198H1,  MAT199H1,  PHY196H1,  PHY197H1,  PHY198H1,  PHY199H1"
GGR272H1,Geographic Information and Mapping I,"(1, 'Winter')!!",,,,,"Fall!!,Winter!!",
GGR274H1,Introductory Computation and Data Science for the Social Sciences,"(1, 'Winter')!!",,,"CSC111H1,CSC148H1,STA130H1,STA238H1,STA248H1,STA261H1,EEB125H1",,Winter!!,
GGR375H1,Introduction to Programming in GIS,"(2, 'Fall')",GGR274H1,,GGR386H1,"Prereq: 8.0 creditsUncleanable string: ""8.0 credits including  GGR272H1/  GGR274H1""",Fall,8.0 credits including  GGR272H1/  GGR274H1
GGR376H1,Geovisualization,"(2, 'Fall')",GGR274H1,,GGR386H1,"Prereq: 8.0 creditsUncleanable string: ""8.0 credits including  GGR272H1/  GGR274H1""",Fall,8.0 credits including  GGR272H1/  GGR274H1
GGR377H1,Introduction to Urban Data Analytics,"(2, 'Fall')!!",,,,Prereq: 8.0 credits,Fall!!,8.0 credits
GGR472H1,Developing Web Maps,"(1, 'Winter')",,,,"Prereq: 0.0 creditsUncleanable string: ""10.0 credits including  GGR272H1 and one of  GGR273H1 or  GGR274H1""",Winter,10.0 credits including  GGR272H1 and one of  GGR273H1 or  GGR274H1
NMC268H1,Data Science Applications in Archaeology,"(2, 'Fall')",,,,"Prereq: ('', '', 's', '', '-', '', '')",Fall,3.0 credits at the 100-level.
PCJ260H1,"Introduction to Peace, Conflict and Justice I","(1, 'Winter')",,,,Prereq: 4.0 credits,Winter,4.0 credits
PSY305H1,The Treatment of Psychological Data,"(3, 'Winter')!!",PSY202H1(unaccounted)/ECO220Y1/SOC252H1(unaccounted)/STA221H1,,EEB313H1,,Winter!!,PSY202H1/  ECO220Y1/  SOC252H1/  STA221H1/  ECO220Y5/  PSY202H5/  STA221H5/  PSYC08H3/  STAB27H3/  STAC32H3
RSM371H1,Data and Information Management for Business Analytics,"(2, 'Fall')",CSC108H1,,RSM312H1,,Fall,CSC108H1
RSM384H1,Sports Analytics,"(3, 'Fall')!!",ECO220Y1/ECO227Y1(unaccounted)/(STA220H1;STA255H1)/(STA237H1;STA238H1)/(STA257H1;STA261H1),,RSM314H1,,Fall!!,"ECO220Y1/​ ECO227Y1/​( STA220H1,  STA255H1)/( STA237H1,  STA238H1)/( STA257H1,  STA261H1)"
